"","ACTG2","ADH1B","CEACAM5","CLDN2","CNN1","DES","DPEP1","LCN2","MYH11","S100P","SYNM"
"TCGA-5M-AAT4-01",9.67390087436044,2.15130682509957,16.9748066706434,10.9782456906056,8.30954456476005,9.48150682747631,8.81863330198066,11.9422102464074,10.5487930157454,11.9346160136822,6.81308853134574
"TCGA-5M-AAT5-01",9.65681632220113,2.89336221076387,16.5535153040266,12.1418804214758,7.62469312047365,8.22282870620527,11.8831663898649,13.6317795688793,9.377689902774,12.0633613730667,6.80468604538469
"TCGA-5M-AATA-01",10.2579299301489,7.02044664025614,16.0396045179538,9.10237468700454,7.93977312770308,7.94676594470983,10.2560553276738,12.3329456410231,10.5324728168429,11.4196284251538,8.9986947851431
"TCGA-5M-AATE-01",10.2390256333651,5.19759022166077,16.1277747251769,14.0281737132652,8.45857886504748,8.45575873120513,12.7682525699179,11.1926195417324,10.5811158258102,11.3320645289871,7.53120208727969
"TCGA-A6-2675-01",10.3017591027685,9.02222353631041,17.1945741209686,8.25128830241354,9.75687985021995,11.1982915550922,12.2162547733702,11.3713138188677,12.3543761219317,11.1916514741442,8.76392606696941
"TCGA-A6-2684-01",12.6325340606487,8.05907401466356,16.2613805903506,12.3404315277656,11.7631957649347,13.9613049835258,13.0321042878619,10.432917662024,13.8191811789596,11.1270205923081,10.6336400866646
"TCGA-A6-4105-01",9.73810070628804,7.29783336841106,15.6313589729908,11.5923542509288,8.53172844543099,8.29559906056453,11.6446764893287,11.993791100535,9.35706589284613,8.62646469027993,7.65784004809911
"TCGA-A6-5656-01",12.2268908039407,4.34755227699006,17.2242278314878,11.5440322704524,10.8970664323549,12.9190346216499,13.5465327764259,11.3479756323695,13.760771916812,11.149054815398,10.7661975973008
"TCGA-A6-5659-01",11.8121251493005,6.58470399470114,16.9280788007654,12.9671830205745,10.5910080084477,12.6072447667958,11.6166039775678,8.63651224544791,13.5102696708982,10.4727517540035,10.1708264041838
"TCGA-A6-5660-01",10.916080983621,3.0535284409893,16.7681326217633,12.5172879978023,9.63447347448195,9.27808932030875,12.998740261992,11.8976299430086,11.0876219532525,11.6144567982408,7.10431569025768
"TCGA-A6-5662-01",12.4637925547517,4.05175491330315,16.4807760037558,5.10153662578659,11.0833663007123,13.2270156983365,13.4258059760367,11.6926547285189,13.1379197242639,12.9815690656495,10.3963371942311
"TCGA-A6-5667-01",13.6838389800629,5.75473253770713,17.727674543845,6.28834933305052,12.1692924313631,14.4799065448328,9.38892568184619,9.95016947421866,14.8775573453488,10.8013607770673,11.8272871232775
"TCGA-A6-6137-01",8.12327302669333,7.12843776228655,17.2583728028642,11.3630286758107,6.76813138086819,7.44352377369068,12.4524420298359,13.3551308208246,10.4130566610076,12.197514663655,6.79834866858931
"TCGA-A6-6138-01",9.99052947485922,4.07479654915232,16.8924835252934,8.51940823397375,9.0411526138003,10.8559274249424,6.65951075147325,12.0937542639833,11.9480861122993,11.8275848534145,8.73563048366954
"TCGA-A6-6142-01",9.93077576950085,5.75920910811356,17.1929381066186,10.7547956610143,10.21087829785,10.1431791047629,14.0872473491057,10.1675686800691,12.1440176816915,11.5612354304915,7.59395875129472
"TCGA-A6-6652-01",8.65281629803297,0,16.355191055775,10.4296578050985,7.7133040237616,9.80261006455584,13.0889074647854,12.4642521784821,10.4242187876824,9.38645747047299,7.38630225852654
"TCGA-A6-6654-01",12.2402994204538,6.81956600600848,16.3905485274902,9.01961574597405,11.3132798686552,13.7498903722948,10.2352962545671,8.45377271152856,14.0580086398157,9.99506046703272,10.8280809338106
"TCGA-A6-6782-01",8.67074829543617,10.5781650944051,17.3694865909201,6.89682885990081,8.65505123583287,7.69284561717274,11.5919804206782,10.496853777388,10.7647637991488,12.9474817029188,7.77935822586596
"TCGA-A6-A567-01",12.6776778046397,5.43995884089069,16.5318291870045,12.2978878065438,11.1461358659523,13.2644645923614,13.0459592636099,11.8132280520929,13.5141962476937,11.334167118714,10.5995037727171
"TCGA-A6-A56B-01",10.9647884814923,5.56600531308306,15.7972840861038,12.9404402403886,9.7433601236856,11.7791735225479,7.1427095439241,7.16678573045702,12.7039727657921,5.60176781760405,9.79447922656529
"TCGA-AA-3511-01",11.1703632536767,6.41090412344701,18.0128918334125,10.8512493202331,9.56161062973939,10.1073740239034,8.46762185162978,10.2728047171805,11.6637404308482,12.6851867965953,8.2441687667094
"TCGA-AA-3655-01",7.73695657729402,2.37086174008528,17.0884570034862,2.49469720927427,6.78674010151848,7.69237837462432,9.4685507354501,13.4514944705293,8.54237801137338,12.0279889076955,6.42357985166004
"TCGA-AA-3660-01",8.57985142693535,6.77736710945041,15.8720471713912,13.1661112878344,7.7054941584602,8.42624378514504,13.8710003826267,13.7270589186405,9.83724000891252,12.3712593590496,7.05402359604217
"TCGA-AA-3685-01",9.82063850887603,6.96337007971549,15.9941943073066,9.87630052607692,8.84365101127685,9.41841977902913,12.3262749846376,12.9108656752034,9.12390152971547,13.1874835306315,6.63172273876195
"TCGA-AA-3712-01",9.8014254497988,4.62124895967324,16.5513252502204,12.6435879137235,8.48429928116452,7.89710123267763,13.6651249164899,10.9895718985589,10.2273030648602,10.1789386756736,7.10883805204968
"TCGA-AA-A01Z-01",8.71826571729722,1.4418552602936,17.3878574630264,13.3874384762781,7.20312283198418,7.00526523409202,11.0529823246401,12.4640172779813,9.24449228040367,12.7579628897398,5.53896023296338
"TCGA-AD-6548-01",11.0607094400048,7.15747831316732,16.8342982085575,9.58079370715554,9.58540388284987,11.5115550107722,12.5100965568907,12.5209672815538,12.8827137305177,12.5040194753539,9.45207234975558
"TCGA-AD-6888-01",7.47975601684986,3.36223140705021,16.0419350201549,14.9434030871937,5.85334698700562,6.59144904121442,13.3988104818292,15.1078014579869,7.99504350236611,12.1089360365944,6.19790469702582
"TCGA-AD-6899-01",10.5641304318012,5.16442427199749,16.7618498585233,10.3102719472978,9.79824983094334,10.7125098049257,11.167085660404,12.8197280497561,12.603042102104,11.3616038891252,8.79410064854023
"TCGA-AD-6901-01",8.23519571482414,11.4317274142729,15.8554914431019,11.8419927684709,9.1575945220224,7.42827641439251,12.240943343672,8.18383880821965,10.2475478068903,11.9476588521404,6.92668738206786
"TCGA-AD-6963-01",8.09103333278795,4.15769051358205,16.5099156923923,7.44620659503205,6.43117330094563,5.72650701008215,9.66312754404432,14.1689619441255,8.62918538096062,11.9671577976568,6.34035040659306
"TCGA-AD-6965-01",8.5225266077605,3.28998197246672,15.4567747120884,13.7521820009518,7.63164271816158,8.98051662884926,13.5632320292515,9.85261377469037,11.2204327451742,11.402255315943,7.62788402838606
"TCGA-AD-A5EK-01",9.85412191488099,0.467905469061453,16.0568324319368,10.8291677456424,7.52767247995012,7.93925008951577,12.8367525903519,10.0592092440812,9.94053530728591,11.3348263427605,6.81860773995722
"TCGA-AM-5821-01",6.37855670676933,1.63589366323973,14.804821743743,7.23001082571499,7.03511799808035,5.71809032463998,8.06694486393607,12.9441373572417,6.06607196414549,11.4977470731341,4.90601028311096
"TCGA-AU-3779-01",8.56963539070241,3.22339165677675,17.2618286476899,9.84917049731428,7.25437673055215,7.84111141977764,12.6155583739808,14.251807838341,9.50153269437043,11.8855591125249,7.46906380951852
"TCGA-AY-5543-01",6.92673481573681,2.41616416473313,17.0232670496116,12.1345514596035,5.35143398747915,4.52869633035568,11.0906483673422,14.5882168667719,7.96561692233014,12.9756026030259,6.84991171463517
"TCGA-AY-6197-01",7.03800810340534,4.84802195312644,15.5480723165081,11.8168436654512,5.83313803514953,5.35985144568943,11.320010742012,14.5163402369605,7.87884180179375,10.0999789336129,6.94532677726463
"TCGA-AY-A54L-01",7.63697981328304,3.63812018808403,16.7917860967017,13.0727389045297,6.37241237889115,5.64944876355219,12.5123429509918,12.9415171763161,8.04129774822352,12.3510744969022,4.85747347519928
"TCGA-AY-A8YK-01",9.81386775032274,5.23597973906982,17.6953710420659,9.84730169068204,7.94366351200716,8.61987881789305,13.0289610305694,13.9884361696678,10.3980595854511,12.9897989370873,7.31190267852111
"TCGA-AZ-4616-01",9.25941138212584,1.31892416403008,15.5263250048503,13.1955137014701,9.3808289973981,10.4502936783412,10.486312138372,15.9313792753169,10.722389174322,10.2327686671109,7.18975538691159
"TCGA-AZ-5407-01",7.60773717036099,5.51529929685071,16.8293139466101,12.2943881300229,6.60653994431398,7.40506485782605,11.042261289547,13.7103974973799,9.65993704211182,13.062767979414,6.033233566546
"TCGA-A6-5661-01",8.91214984035726,3.89946568745449,16.5175694367076,12.6016733057197,7.21354170192656,5.14559594469866,4.4245862262511,14.7790421635779,8.02382641695791,12.7599505821769,4.8087454219637
"TCGA-A6-5665-01",7.7412579827287,4.30478845649034,14.8273476667154,10.2282535242526,5.87525173160921,4.63945214010361,5.94282177838751,14.2069838060003,7.24374523473398,13.6576199100807,4.3386240819406
"TCGA-A6-6650-01",9.18024733747292,2.16780749549812,16.9868308720383,8.22265002245148,7.42776538336104,6.97269265400426,11.4003404591403,13.3631080936586,10.5596160858127,12.1889071430456,7.79100656098416
"TCGA-A6-6653-01",7.9290512375518,1.32986987231766,16.0533001651963,9.48386614981505,7.00747584866629,3.09914368815104,9.55817195129876,13.7133972556284,9.0101532222146,12.1723056120172,5.45586638333155
"TCGA-A6-6780-01",6.23164936474308,4.56915687102425,15.2104430511922,3.07291183766011,6.10268332372308,9.61379130581798,11.3931651863565,11.2376521441563,6.05960404145128,10.9208887416495,5.79115507257877
"TCGA-A6-A565-01",10.755955769551,7.8811139606751,17.2547702901212,8.3830908006872,9.41667087727392,9.32816776342107,8.20949723068968,11.315019328804,11.2261592775004,10.856892344692,8.15814512368297
"TCGA-AA-3526-01",9.78071527512393,4.40297451727843,15.2339379272615,12.4636010016384,8.73195367723113,8.14791210471544,13.2700368447933,13.1721930829105,8.66822197205731,13.6315067638975,6.77565636725804
"TCGA-AA-3663-01",9.66726769249705,3.29148568597356,14.8644038095534,12.7076524732577,8.06921881032227,6.4011611184641,11.6435631125779,12.4526016117384,8.41611348368928,14.5005307057661,5.55930213344945
"TCGA-AA-3713-01",9.98480293635185,8.30215451729724,17.3421701822526,7.85475620390662,8.55705390652297,10.1360042069441,8.91069369230344,11.5542530790534,10.8114630026905,13.5890307759911,6.76949406777307
"TCGA-AA-A01P-01",12.1433864029674,4.67815080034041,15.1108706843906,11.258683800107,10.9792608373518,13.7015880416181,5.95530815318244,17.6552581796548,13.4730715143075,12.6071615270528,10.0143831913583
"TCGA-AA-A02Y-01",4.71759417682425,2.62011716502868,16.924174597139,14.4835638881251,3.60335929188297,4.24929363016074,10.7991035000277,16.4143532588519,5.7683140291426,12.8735690740245,7.97707953527251
"TCGA-AD-6889-01",8.2702112154834,2.02580841895842,16.1671378123598,12.4042128816022,6.84778399313912,6.38262056842535,9.55978240316756,15.0153845603214,8.23067376493969,9.85205347415613,5.33722939987667
"TCGA-AD-6895-01",11.8739323621638,6.18560295194604,16.4539441674983,9.62172406343151,10.4383968243547,12.7797850053011,9.44823815997318,14.249165315305,12.8522524916044,13.2262074552595,9.2565861227271
"TCGA-AD-6964-01",8.28062695734796,9.52471212515922,15.340865431889,7.98381447977861,9.0225897490401,4.53534381551693,11.0219099621507,12.6208017356771,9.47186823813917,12.5836727975087,6.97800109074357
"TCGA-AM-5820-01",13.7789497946403,6.16954824854787,15.4799065448328,8.6317045526516,12.1048476985314,14.3635256500703,6.37220688438996,11.0813236476068,14.2742398179618,12.7049821641979,11.4781477212995
"TCGA-AU-6004-01",10.7937089675823,4.20883716427805,14.5113696958703,13.9631489607473,9.4829107866707,11.847382346638,3.52295966198722,14.7569471732171,11.9883616061879,12.2257768094593,8.79437362466068
"TCGA-AY-A71X-01",6.04330075436418,3.29857034367261,16.8924360904548,14.0912700818215,4.13140016345195,5.36994102225427,9.55008299298047,12.0595100840655,8.43560359334377,13.0923458745848,6.83761531938913
"TCGA-AZ-4615-01",8.88434760096474,1.52822122907353,15.6423732841839,11.5441337266493,8.56174617392098,6.42283343790202,6.5370164479329,13.133848613138,9.65712726865524,13.2597565020633,5.54520853081682
"TCGA-AZ-4684-01",9.37492427187564,6.16507983864565,16.4830253275747,11.1539129769707,8.20900001522118,8.41371677261071,10.8864282105419,14.0996601194158,10.0149410457206,12.6886808674895,6.05603721227491
